rental_id,inventory_id,customer_id,staff_id,rental_date_id
1,367,130,1,20050524
2,1525,459,1,20050524
3,1711,408,1,20050524
4,2452,333,2,20050524
5,2079,222,1,20050524
6,2792,549,1,20050524
7,3995,269,2,20050524
8,2346,239,2,20050524
9,2580,126,1,20050525
10,1824,399,2,20050525
11,4443,142,2,20050525
12,1584,261,2,20050525
13,2294,334,1,20050525
14,2701,446,1,20050525
15,3049,319,1,20050525
16,389,316,2,20050525
17,830,575,1,20050525
18,3376,19,2,20050525
19,1941,456,1,20050525
20,3517,185,2,20050525
21,146,388,2,20050525
22,727,509,2,20050525
23,4441,438,1,20050525
24,3273,350,1,20050525
25,3961,37,2,20050525
26,4371,371,1,20050525
27,1225,301,2,20050525
28,4068,232,2,20050525
29,611,44,2,20050525
30,3744,430,1,20050525
31,4482,369,1,20050525
32,3832,230,1,20050525
33,1681,272,1,20050525
34,2613,597,2,20050525
35,1286,484,2,20050525
36,1308,88,1,20050525
37,403,535,1,20050525
38,2540,302,1,20050525
39,4466,207,2,20050525
40,2638,413,1,20050525
41,1761,174,1,20050525
42,380,523,2,20050525
43,2578,532,2,20050525
44,3098,207,2,20050525
45,1853,436,2,20050525
46,3318,7,2,20050525
47,2211,35,1,20050525
48,1780,282,1,20050525
49,2965,498,2,20050525
50,1983,18,2,20050525
51,1257,256,1,20050525
52,4017,507,2,20050525
53,1255,569,2,20050525
54,2787,291,2,20050525
55,1139,131,1,20050525
56,1352,511,1,20050525
57,3938,6,2,20050525
58,3050,323,1,20050525
59,2884,408,1,20050525
60,330,470,1,20050525
61,4210,250,2,20050525
62,261,419,1,20050525
63,4008,383,1,20050525
64,79,368,1,20050525
65,3552,346,1,20050525
66,1162,86,2,20050525
67,239,119,2,20050525
68,4029,120,2,20050525
69,3207,305,2,20050525
70,2168,73,2,20050525
71,2408,100,1,20050525
72,2260,48,2,20050525
73,517,391,2,20050525
74,1744,265,2,20050525
75,3393,510,1,20050525
76,3021,1,2,20050525
77,1303,451,2,20050525
78,4067,135,2,20050525
79,3299,245,2,20050525
80,2478,314,2,20050525
81,2610,286,2,20050525
82,1388,427,1,20050525
83,466,131,1,20050525
84,1829,492,1,20050525
85,470,414,1,20050525
86,2275,266,1,20050525
87,1586,331,2,20050525
88,2221,53,2,20050525
89,2181,499,1,20050525
90,2984,25,1,20050525
91,139,267,1,20050525
92,775,302,2,20050525
93,4360,288,1,20050525
